<TICKER>,<PER>,<DTYYYYMMDD>, <TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
khmotor-D1,D1,20080806,000000,102,104,102,102,27310,0
khmotor-D1,D1,20080810,000000,99,101,99,101,25010,0
khmotor-D1,D1,20080812,000000,98,101,98,101,25260,0
khmotor-D1,D1,20080816,000000,98,99,98,99,40010,0
khmotor-D1,D1,20080818,000000,99,99,96,98,51010,0
khmotor-D1,D1,20080819,000000,96,98,96,98,30010,0
khmotor-D1,D1,20080820,000000,96,96,95,96,84500,0
khmotor-D1,D1,20080823,000000,95,96,95,96,8860,0
khmotor-D1,D1,20080824,000000,94,98,93,95,46027,0
khmotor-D1,D1,20080825,000000,93,95,93,95,20053,0
khmotor-D1,D1,20080826,000000,97,97,95,95,25860,0
khmotor-D1,D1,20080827,000000,94,95,94,95,3504,0
khmotor-D1,D1,20080830,000000,96,96,96,96,59510,0
khmotor-D1,D1,20080831,000000,96,96,96,96,46107,0
khmotor-D1,D1,20080901,000000,94,95,94,95,9855,0
khmotor-D1,D1,20080902,000000,94,94,92,93,124555,0
khmotor-D1,D1,20080903,000000,91,92,90,92,35964,0
khmotor-D1,D1,20080906,000000,91,91,90,91,15010,0
khmotor-D1,D1,20080907,000000,89,91,89,91,51789,0
khmotor-D1,D1,20080908,000000,91,91,91,91,5950,0
khmotor-D1,D1,20080909,000000,87,89,87,89,31535,0
khmotor-D1,D1,20080910,000000,87,88,87,88,22560,0
khmotor-D1,D1,20080913,000000,87,88,87,88,20010,0
khmotor-D1,D1,20080914,000000,85,87,85,87,25010,0
khmotor-D1,D1,20080916,000000,87,87,85,87,11185,0
khmotor-D1,D1,20080917,000000,87,87,87,87,32411,0
khmotor-D1,D1,20080920,000000,87,87,87,87,39364,0
khmotor-D1,D1,20080921,000000,87,87,87,87,36394,0
khmotor-D1,D1,20080923,000000,87,87,87,87,34799,0
khmotor-D1,D1,20080924,000000,87,87,87,87,10000,0
khmotor-D1,D1,20080927,000000,87,87,87,87,10000,0
khmotor-D1,D1,20080928,000000,85,85,85,85,80378,0
khmotor-D1,D1,20080929,000000,85,88,85,87,104511,0
khmotor-D1,D1,20080930,000000,89,89,87,87,13002,0
khmotor-D1,D1,20081004,000000,89,89,87,87,18010,0
khmotor-D1,D1,20081005,000000,91,91,88,88,30010,0
khmotor-D1,D1,20081006,000000,91,91,88,88,13010,0
khmotor-D1,D1,20081007,000000,91,91,91,91,111836,0
khmotor-D1,D1,20081008,000000,94,94,93,93,71798,0
khmotor-D1,D1,20081013,000000,91,93,91,93,2628,0
khmotor-D1,D1,20081014,000000,91,92,91,92,12630,0
khmotor-D1,D1,20081015,000000,89,92,89,92,12540,0
khmotor-D1,D1,20081018,000000,89,92,89,92,8621,0
khmotor-D1,D1,20081021,000000,89,91,89,91,36630,0
khmotor-D1,D1,20081026,000000,91,91,91,91,7559,0
khmotor-D1,D1,20081027,000000,89,91,88,91,29094,0
khmotor-D1,D1,20081028,000000,92,92,91,91,455,0
khmotor-D1,D1,20081104,000000,87,92,87,89,20799,0
khmotor-D1,D1,20081105,000000,89,89,89,89,29000,0
khmotor-D1,D1,20081108,000000,89,89,89,89,24390,0
khmotor-D1,D1,20081109,000000,92,92,91,91,28906,0
khmotor-D1,D1,20081110,000000,92,93,89,92,62824,0
khmotor-D1,D1,20081111,000000,95,95,92,92,12985,0
khmotor-D1,D1,20081112,000000,95,95,93,93,17010,0
khmotor-D1,D1,20081115,000000,93,95,93,94,49693,0
khmotor-D1,D1,20081116,000000,96,96,94,94,326,0
khmotor-D1,D1,20081117,000000,96,96,96,96,99850,0
khmotor-D1,D1,20081118,000000,98,98,96,96,20631,0
khmotor-D1,D1,20081119,000000,98,98,94,96,8048,0
khmotor-D1,D1,20081122,000000,94,96,94,96,48138,0
khmotor-D1,D1,20081123,000000,96,98,96,96,27225,0
khmotor-D1,D1,20081124,000000,99,99,97,97,36595,0
khmotor-D1,D1,20081125,000000,99,99,98,98,77014,0
khmotor-D1,D1,20081126,000000,99,99,98,98,1073,0
khmotor-D1,D1,20081129,000000,98,98,98,98,3378,0
khmotor-D1,D1,20081130,000000,98,98,96,98,22153,0
khmotor-D1,D1,20081201,000000,96,98,95,98,20134,0
khmotor-D1,D1,20081202,000000,95,98,95,98,20,0
khmotor-D1,D1,20081203,000000,95,97,95,97,25248,0
khmotor-D1,D1,20081207,000000,95,95,95,95,10000,0
khmotor-D1,D1,20081215,000000,95,95,95,95,48000,0
khmotor-D1,D1,20081216,000000,93,93,93,93,20435,0
khmotor-D1,D1,20081221,000000,95,98,95,98,31020,0
khmotor-D1,D1,20081229,000000,95,95,94,94,30000,0
khmotor-D1,D1,20090103,000000,95,95,93,93,6000,0
khmotor-D1,D1,20090110,000000,93,93,93,93,1015,0
khmotor-D1,D1,20090114,000000,93,93,93,93,255,0
khmotor-D1,D1,20090121,000000,93,93,93,93,6030,0
khmotor-D1,D1,20090131,000000,92,92,92,92,6000,0
khmotor-D1,D1,20090201,000000,92,92,92,92,2000,0
khmotor-D1,D1,20090204,000000,92,92,92,92,100,0
khmotor-D1,D1,20090207,000000,89,89,89,89,1000,0
khmotor-D1,D1,20090208,000000,87,87,87,87,188006,0
khmotor-D1,D1,20090209,000000,87,87,87,87,3000,0
khmotor-D1,D1,20090211,000000,89,89,89,89,16500,0
khmotor-D1,D1,20090214,000000,89,89,89,89,59503,0
khmotor-D1,D1,20090215,000000,89,91,89,91,12000,0
khmotor-D1,D1,20090217,000000,87,87,86,86,34697,0
khmotor-D1,D1,20090221,000000,85,85,85,85,15200,0
khmotor-D1,D1,20090223,000000,85,85,85,85,14080,0
khmotor-D1,D1,20090228,000000,85,85,84,84,19500,0
khmotor-D1,D1,20090303,000000,84,84,84,84,538,0
khmotor-D1,D1,20090304,000000,84,84,84,84,10000,0
khmotor-D1,D1,20090318,000000,84,84,84,84,171341,0
khmotor-D1,D1,20090328,000000,84,84,84,84,6100,0
khmotor-D1,D1,20090329,000000,84,84,83,83,19000,0
khmotor-D1,D1,20090404,000000,87,87,87,87,23000,0
khmotor-D1,D1,20090405,000000,87,87,87,87,13574,0
khmotor-D1,D1,20090406,000000,87,87,87,87,13000,0
khmotor-D1,D1,20090407,000000,83,87,83,87,30532,0
khmotor-D1,D1,20090408,000000,87,87,87,87,3000,0
khmotor-D1,D1,20090411,000000,88,88,88,88,10606,0
khmotor-D1,D1,20090412,000000,88,88,88,88,54399,0
khmotor-D1,D1,20090413,000000,84,89,84,89,42514,0
khmotor-D1,D1,20090414,000000,86,88,86,88,70317,0
khmotor-D1,D1,20090418,000000,87,87,87,87,19000,0
khmotor-D1,D1,20090419,000000,89,89,89,89,20350,0
khmotor-D1,D1,20090420,000000,90,90,90,90,19251,0
khmotor-D1,D1,20090422,000000,91,91,91,91,53116,0
khmotor-D1,D1,20090425,000000,91,91,87,91,17778,0
khmotor-D1,D1,20090427,000000,87,87,87,87,59730,0
khmotor-D1,D1,20090428,000000,85,91,85,91,42189,0
khmotor-D1,D1,20090429,000000,86,86,86,86,19818,0
khmotor-D1,D1,20090503,000000,87,87,87,87,5000,0
khmotor-D1,D1,20090505,000000,91,91,88,89,62199,0
khmotor-D1,D1,20090506,000000,87,89,87,89,10379,0
khmotor-D1,D1,20090509,000000,89,91,89,91,106585,0
khmotor-D1,D1,20090510,000000,93,93,93,93,15000,0
khmotor-D1,D1,20090511,000000,88,93,88,93,9400,0
khmotor-D1,D1,20090512,000000,93,93,91,91,25000,0
khmotor-D1,D1,20090513,000000,92,92,88,88,23513,0
khmotor-D1,D1,20090517,000000,88,91,88,91,20527,0
khmotor-D1,D1,20090518,000000,88,88,88,88,3301,0
khmotor-D1,D1,20090520,000000,92,92,91,91,64938,0
khmotor-D1,D1,20090523,000000,92,94,92,94,45000,0
khmotor-D1,D1,20090525,000000,91,94,91,94,45950,0
khmotor-D1,D1,20090530,000000,108,108,96,107,32505,0
khmotor-D1,D1,20090531,000000,103,103,101,103,239000,0
khmotor-D1,D1,20090601,000000,107,107,102,106,195365,0
khmotor-D1,D1,20090602,000000,105,105,102,102,166500,0
khmotor-D1,D1,20090603,000000,105,106,105,106,362986,0
khmotor-D1,D1,20090606,000000,108,108,106,106,15494,0
khmotor-D1,D1,20090607,000000,103,106,103,106,50259,0
khmotor-D1,D1,20090608,000000,105,106,105,106,2002,0
khmotor-D1,D1,20090609,000000,108,108,108,108,238831,0
khmotor-D1,D1,20090610,000000,111,111,108,108,14917,0
khmotor-D1,D1,20090613,000000,105,105,105,105,3000,0
khmotor-D1,D1,20090617,000000,105,105,105,105,5000,0
khmotor-D1,D1,20090620,000000,105,105,105,105,60000,0
khmotor-D1,D1,20090621,000000,103,103,103,103,141964,0
khmotor-D1,D1,20090622,000000,103,107,101,107,117948,0
khmotor-D1,D1,20090831,000000,123,130,122,122,763181,0
khmotor-D1,D1,20090901,000000,123,123,121,121,84468,0
khmotor-D1,D1,20090902,000000,119,119,119,119,8698,0
khmotor-D1,D1,20090905,000000,119,119,119,119,12000,0
khmotor-D1,D1,20090906,000000,119,119,119,119,4245,0
khmotor-D1,D1,20090907,000000,119,119,119,119,7485,0
khmotor-D1,D1,20090913,000000,118,118,118,118,1402,0
khmotor-D1,D1,20090914,000000,118,118,118,118,7596,0
khmotor-D1,D1,20090915,000000,118,118,118,118,2000,0
khmotor-D1,D1,20090916,000000,118,118,118,118,10000,0
khmotor-D1,D1,20090919,000000,118,118,118,118,15000,0
khmotor-D1,D1,20090922,000000,118,118,118,118,1000,0
khmotor-D1,D1,20090923,000000,115,118,115,118,45642,0
khmotor-D1,D1,20090926,000000,118,118,116,118,96727,0
khmotor-D1,D1,20090927,000000,120,120,120,120,8171,0
khmotor-D1,D1,20090928,000000,119,120,119,120,158536,0
khmotor-D1,D1,20090929,000000,123,123,122,122,30558,0
khmotor-D1,D1,20090930,000000,123,124,123,124,202164,0
khmotor-D1,D1,20091003,000000,127,127,124,127,198507,0
khmotor-D1,D1,20091004,000000,131,131,124,131,210591,0
