Date,Time,Open,High,Low,Close,Volume
20160314,000000,74000,74000,74000,74000,32197000
20160315,000000,77700,77700,77700,77700,51061
20160316,000000,81585,81585,79000,81585,13260122
20160326,000000,82000,82000,80120,81000,2252836
20160327,000000,80593,80597,77728,78791,2308212
20160328,000000,78000,79996,77900,79027,1118421
20160329,000000,78911,79078,76000,77700,1533429
20160330,000000,77900,79151,77850,79000,1333892
20160402,000000,78621,78621,76551,77250,1044391
20160403,000000,77000,77200,75592,76441,1030896
20160404,000000,76460,78300,75700,75797,770070
20160405,000000,76050,78100,75685,78000,1224593
20160406,000000,79000,80200,78200,78339,1045270
20160409,000000,79126,79990,78900,79800,1208819
20160410,000000,79890,79890,77250,77310,420236
20160411,000000,77205,77680,76990,77100,345206
20160412,000000,77200,79000,77150,77500,540473
20160413,000000,77500,77500,76500,77400,871844
20160416,000000,77070,77500,75000,75050,1060939
20160417,000000,75009,75561,74511,75150,571803
20160418,000000,75189,77000,75001,75271,406217
20160419,000000,75500,75999,74810,75009,431583
20160420,000000,75000,75800,74850,75001,410916
20160423,000000,75140,75140,75000,75074,383626
20160424,000000,75108,76449,75000,76100,345714
20160425,000000,76390,76650,76009,76380,381796
20160426,000000,77689,79500,77100,77800,744231
20160427,000000,77899,77899,75602,75700,354604
20160430,000000,75200,77968,75001,76002,381095
20160501,000000,76000,76398,74954,74955,286714
20160502,000000,75700,76498,75700,75740,568042
20160503,000000,75500,75649,74800,75500,380290
20160504,000000,75500,75545,74860,75000,336859
20160507,000000,74550,75495,74550,75200,662662
20160508,000000,75100,75300,75050,75202,558177
20160509,000000,75250,75699,75250,75250,352450
20160510,000000,74515,75340,74515,75253,738281
20160511,000000,75250,75280,75250,75254,829892
20160514,000000,75200,75200,74750,74900,193912
20160515,000000,74901,74989,74540,74850,362877
20160516,000000,74900,74903,74751,74900,218898
20160517,000000,74700,74900,74700,74865,261791
20160518,000000,74900,74900,74800,74890,278661
20160521,000000,74870,74883,74610,74860,225402
20160523,000000,74870,75400,74545,75300,606462
20160524,000000,75400,75500,73337,75240,493448
20160525,000000,75050,75200,74800,75070,187942
20160528,000000,74803,78795,74800,75500,470071
20160529,000000,76600,76755,75000,75200,702538
20160530,000000,76996,77100,76000,76500,429146
20160531,000000,76796,76796,74994,75000,82728
20160601,000000,75250,75251,74880,75155,234680
20160605,000000,75400,75400,74905,75120,154197
20160606,000000,74909,75150,74603,74899,132812
20160607,000000,75000,75100,74100,74700,211244
20160608,000000,74900,74902,74550,74600,374555
20160611,000000,74638,74900,74400,74410,256668
20160612,000000,74501,74512,73956,74000,606558
20160613,000000,74010,74440,73900,74148,372886
20160614,000000,74001,74100,73900,74100,1040409
20160705,000000,11550,12000,11411,11670,744175
20160709,000000,11797,11797,11155,11200,235722
20160710,000000,11299,11299,10800,10900,166517
20160711,000000,11010,11010,10808,10830,156037
20160712,000000,10800,10800,10295,10295,127950
20160713,000000,10249,10249,10000,10100,178656
20160716,000000,10200,10200,10051,10063,73565
20160717,000000,10100,10396,10100,10106,130536
20160718,000000,10100,10296,10100,10121,53540
20160719,000000,10110,10680,10110,10680,218328
20160720,000000,10681,11061,10681,11061,217789
20160723,000000,11166,11445,11166,11202,325782
20160724,000000,11180,11269,11050,11084,137666
20160725,000000,11001,11001,10801,10833,96376
20160726,000000,10831,10831,10500,10670,57389
20160727,000000,10760,10830,10750,10750,48178
20160731,000000,10750,10800,10520,10748,24874
20160801,000000,10620,10800,10525,10532,28530
20160802,000000,10530,10970,10530,10792,62444
20160803,000000,10950,10970,10779,10780,50226
20160806,000000,10640,10994,10640,10890,73442
20160807,000000,10707,10898,10700,10701,52568
20160808,000000,10899,10899,10500,10646,85847
20160809,000000,10798,10798,10417,10490,24872
20160810,000000,10749,10749,10300,10303,64662
20160813,000000,10335,10450,10301,10301,75359
20160814,000000,10303,10450,10303,10305,68946
20160815,000000,10350,10525,10309,10320,45200
20160816,000000,10320,10490,10301,10302,43741
20160817,000000,10300,10399,10229,10350,53155
20160820,000000,10220,10301,10100,10300,77399
20160821,000000,10150,10683,10150,10683,251724
20160822,000000,10701,11134,10701,11001,421996
20160823,000000,11040,11397,10622,11050,190627
20160824,000000,10600,11098,10558,10647,50207
20160827,000000,10611,10945,10600,10890,114273
20160828,000000,10999,11355,10998,11155,588345
20160829,000000,10639,10900,10639,10900,2568542
20160830,000000,10201,10401,10130,10150,470382
20160831,000000,10154,10222,10090,10100,492422
20160903,000000,10150,10189,9721,10000,465810
20160904,000000,9970,9999,9750,9850,541114
20160905,000000,9752,9800,9750,9796,256193
20160906,000000,9800,9890,9700,9746,320944
20160907,000000,9703,9710,9502,9521,347529
20160910,000000,9500,9500,9420,9434,369812
20160911,000000,9420,9439,9282,9330,422649
20160913,000000,9030,9298,9030,9101,832683
20160914,000000,9063,9390,9062,9164,254883
20160917,000000,9155,9290,9030,9031,266579
20160918,000000,9100,9100,9035,9065,336958
20160919,000000,9046,9100,9031,9065,270263
20160921,000000,9078,9078,9001,9025,753190
20160924,000000,9099,9243,9036,9042,407781
20160925,000000,9063,9240,9063,9101,794151
20160926,000000,9100,9190,9090,9150,501328
20160927,000000,9121,9590,9121,9590,882519
20160928,000000,9650,9864,9650,9864,1018573
20161001,000000,9888,10303,9651,10140,1488510
20161002,000000,10000,10500,9752,10500,1386642
20161003,000000,10203,10380,10100,10380,893763
20161004,000000,10100,10460,10100,10199,683132
20161005,000000,10110,10199,9800,9808,463366
20161008,000000,9800,9800,9614,9774,201885
20161009,000000,9770,9951,9500,9950,374249
20161010,000000,9790,10000,9788,10000,587929
20161015,000000,9900,10001,9720,9812,406113
20161016,000000,9969,10000,9740,9810,1029079
20161017,000000,9800,9970,9610,9750,609081
20161018,000000,9880,10050,9820,10000,1649186
20161019,000000,10040,10200,9981,10100,1267611
20161022,000000,9809,10170,9809,9900,2548508
20161023,000000,9901,9950,9630,9634,758845
20161024,000000,9705,9840,9590,9600,886802
20161025,000000,9770,9770,9501,9535,755588
20161026,000000,9547,9571,9430,9460,967985
20161029,000000,9574,9574,9400,9490,1474543
20161030,000000,9464,9560,9350,9422,912973
20161031,000000,9300,9840,9300,9680,1117110
20161101,000000,9680,9806,9504,9745,787975
20161102,000000,9711,9956,9711,9850,781918
20161105,000000,9899,9950,9800,9900,803879
