Date,Open,High,Low,Close,Total Trade Quantity,Turnover (Lacs)
20160315,9065,9065,9065,9065,51061,0
20160316,9519,9519,9216,9519,13260122,0
20160326,9566,9566,9347,9443,2252836,0
20160327,9403,9403,9069,9170,2308212,0
20160328,9100,9333,9088,9216,1118421,0
20160329,9206,9226,8866,9065,1533429,0
20160330,9088,9235,9082,9216,1333892,0
20160402,9173,9173,8931,9012,1044391,0
20160403,8983,9007,8819,8918,1030896,0
20160404,8921,9135,8833,8842,770070,0
20160405,8872,9111,8830,9100,1224593,0
20160406,9216,9357,9123,9139,1045270,0
20160409,9231,9332,9205,9310,1208819,0
20160410,9320,9320,9012,9020,420236,0
20160411,9007,9063,8981,8995,345206,0
20160412,9007,9216,9000,9041,540473,0
20160413,9041,9041,8925,8983,871844,0
20160416,8991,9041,8750,8752,1060939,0
20160417,8751,8815,8693,8763,571803,0
20160418,8773,8983,8750,8784,406217,0
20160419,8808,8866,8727,8751,431583,0
20160420,8750,8843,8732,8750,410916,0
20160423,8766,8766,8750,8758,383626,0
20160424,8763,8919,8750,8878,345714,0
20160425,8911,8942,8868,8902,381796,0
20160426,9064,9275,8995,9060,744231,0
20160427,9088,9088,8820,8833,354604,0
20160430,8774,9096,8750,8867,381095,0
20160501,8866,8912,8744,8744,286714,0
20160502,8833,8924,8833,8837,568042,0
20160503,8808,8825,8726,8808,380290,0
20160504,8808,8813,8734,8750,336859,0
20160507,8697,8807,8697,8774,662662,0
20160508,8762,8784,8755,8774,558177,0
20160509,8780,8833,8780,8780,352450,0
20160510,8694,8789,8694,8780,738281,0
20160511,8780,8783,8780,8780,829892,0
20160514,8774,8774,8722,8738,193912,0
20160515,8738,8748,8696,8732,362877,0
20160516,8738,8738,8722,8738,218898,0
20160517,8715,8738,8715,8734,261791,0
20160518,8738,8738,8726,8736,278661,0
20160521,8734,8735,8705,8734,225402,0
20160523,8734,8796,8697,8784,606462,0
20160524,8796,8808,8555,8778,493448,0
20160525,8755,8774,8726,8758,187942,0
20160528,8726,9193,8726,8808,470071,0
20160529,8937,8955,8750,8774,702538,0
20160530,8982,8995,8866,8925,429146,0
20160531,8961,8961,8749,8750,82728,0
20160601,8780,8780,8735,8768,234680,0
20160605,8796,8796,8739,8764,154197,0
20160606,8739,8768,8704,8738,132812,0
20160607,8750,8762,8646,8715,211244,0
20160608,8738,8738,8697,8704,374555,0
20160611,8708,8738,8679,8681,256668,0
20160612,8691,8693,8627,8633,606558,0
20160613,8635,8684,8621,8651,372886,0
20160614,8633,8646,8621,8646,1040409,0
20160705,9065,9418,8956,9159,744175,0
20160709,9258,9258,8754,8790,235722,0
20160710,8868,8868,8477,8555,166517,0
20160711,8641,8641,8483,8499,156037,0
20160712,8477,8477,8079,8079,127950,0
20160713,8006,8044,7848,7927,178656,0
20160716,8006,8006,7889,7898,73565,0
20160717,7927,8159,7927,7932,130536,0
20160718,7927,8080,7927,7944,53540,0
20160719,7935,8381,7935,8381,218328,0
20160720,8382,8681,8382,8681,217789,0
20160723,8764,8982,8764,8792,325782,0
20160724,8774,8844,8672,8699,137666,0
20160725,8634,8634,8478,8502,96376,0
20160726,8500,8500,8241,8374,57389,0
20160727,8445,8499,8437,8437,48178,0
20160731,8437,8477,8256,8435,24874,0
20160801,8335,8477,8260,8266,28530,0
20160802,8264,8609,8264,8470,62444,0
20160803,8595,8609,8459,8609,51878,0
20160806,8351,8628,8351,8547,73442,0
20160807,8403,8553,8398,8399,52568,0
