Date,Open,High,Low,Close,Total Trade Quantity,Turnover (Lacs)
2020-06-29,72950,73570,70801,72450,14434877,0
2020-06-28,78300,78300,71584,72580,14659446,0
2020-06-27,74440,75791,72999,75791,10477999,0
2020-06-24,71200,74550,70845,72996,13135152,0
2020-06-23,75253,76800,72477,72483,25382050,0
2020-06-22,76800,78450,73322,75074,15655243,0
2020-06-21,76900,76950,74100,75999,47287112,0
2020-06-20,73321,73321,72010,73321,40895269,0
2020-06-16,69700,70670,68000,70275,11813806,0
2020-06-15,69270,71750,67120,68045,10311124,0
2020-06-14,72201,72201,68591,69270,12426404,0
2020-06-13,73990,73990,71112,71499,19921664,0
2020-06-10,69800,71328,68068,71328,36319961,0
2020-06-09,69000,71905,67145,67160,10448796,0
2020-06-08,71900,71999,70159,70159,9578972,0
2020-06-07,74900,75890,71120,71999,17236910,0
2020-06-06,72500,72729,70450,72729,29016201,0
2020-06-02,67997,70100,67112,68900,6238591,0
2020-06-01,66665,68596,64883,66700,6330146,0
2020-05-31,71900,71900,65169,66600,6811633,0
2020-05-30,68656,68657,67246,68657,2819792,0
2020-05-27,60950,67020,60950,66809,5809231,0
2020-05-26,65000,66580,63205,63205,5682497,0
2020-05-23,66200,69000,64656,65720,7892028,0
2020-05-20,67900,71580,66301,66380,10414139,0
2020-05-19,73427,73427,69066,69111,12573176,0
2020-05-18,73332,73332,70500,72000,13451571,0
2020-05-17,65071,70272,65071,70200,20897576,0
2020-05-16,68412,71800,65002,66410,8698616,0
2020-05-13,71707,71707,68293,71707,16790732,0
2020-05-12,69400,71241,67679,67679,5133797,0
2020-05-11,73701,75586,69121,69139,17653868,0
2020-05-10,78500,78500,72164,73540,44463972,0
2020-05-09,75000,76309,75000,75750,17627880,0
2020-05-06,72242,74861,72242,72242,16771071,0
2020-05-05,78500,79490,74861,74861,9941823,0
2020-05-04,78206,80900,78206,78206,19323610,0
2020-05-03,82419,82419,79998,80232,41663611,0
2020-05-02,78495,78495,78495,78495,28013552,0
2020-04-29,74810,74818,72500,74818,32487109,0
2020-04-28,68490,71623,68146,71623,32296484,0
2020-04-27,69500,70980,67001,67515,15359420,0
2020-04-26,73380,73380,68870,68907,22992583,0
2020-04-25,73009,73009,71300,72200,20590880,0
2020-04-22,70201,73334,68401,71337,23800283,0
2020-04-21,71000,73471,69973,70889,20616948,0
2020-04-20,69973,69973,69972,69973,13446081,0
2020-04-19,66000,67823,62713,67823,37270973,0
2020-04-18,64500,66600,63400,64900,22757375,0
2020-04-15,64000,65400,62393,62497,13213124,0
2020-04-14,59002,64599,59002,62499,11572823,0
2020-04-13,63900,63900,61483,61483,10932528,0
2020-04-12,62888,65536,62800,62899,23370605,0
2020-04-11,63998,63999,60841,60842,14592799,0
2020-04-08,65320,66950,62200,63750,24347107,0
2020-04-07,65321,65321,63500,65320,33577813,0
2020-04-06,62227,62227,60415,62227,68550673,0
2020-04-05,59264,59264,59264,59264,54202196,0
2020-04-04,56442,56442,56442,56442,11117912,0
2020-03-30,53400,56121,52991,56121,35885495,0
2020-03-29,54300,55855,52124,52990,10296210,0
2020-03-28,51688,53989,51383,53500,3410783,0
2020-03-25,50034,52499,50034,51500,1428215,0
2020-03-24,52000,52745,49937,51149,952719,0
2020-03-18,52800,53150,51500,51630,658113,0
2020-03-17,49193,51844,48907,51844,1930209,0
2020-03-16,51400,51400,48495,49100,2281926,0
2020-03-15,49069,49069,49069,49069,258394,0
2020-03-14,50567,53439,50267,50267,686290,0
2020-03-11,54000,54000,52253,52253,2176440,0
2020-03-10,56485,56485,52905,52905,4065770,0
2020-03-09,55600,55763,54100,55763,10978863,0
2020-03-07,52970,53202,50750,53202,3255083,0
2020-03-04,52500,52500,50000,51780,3769433,0
2020-03-03,51999,52125,50813,51000,1052542,0
2020-03-02,53000,53500,50648,51404,2825555,0
2020-03-01,52799,54499,51937,53000,536731,0
2020-02-29,50250,52740,50250,51902,173412,0
2020-02-26,53333,53333,51565,52235,283781,0
2020-02-25,51856,53295,51004,52500,327023,0
2020-02-24,54250,54250,50347,51597,461746,0
2020-02-23,52575,53500,51370,52958,262841,0
2020-02-22,50146,53400,50137,52638,304294,0
2020-02-19,52500,53893,51751,52000,311109,0
2020-02-18,51112,53899,51112,51750,224056,0
2020-02-17,55301,55301,51851,52600,368012,0
2020-02-16,52414,53938,51051,53938,1209845,0
2020-02-15,50009,52000,50009,51745,199671,0
2020-02-12,51704,53399,50000,52000,200318,0
2020-02-10,55700,55700,51587,52728,170978,0
2020-02-09,57000,57000,53136,53200,268811,0
2020-02-08,56461,56461,54986,55852,668693,0
2020-02-05,53750,53920,52000,53920,1158288,0
2020-02-04,52537,52537,50000,50981,294972,0
2020-02-03,50400,50600,49200,50200,412494,0
2020-02-02,49800,49800,48251,49190,226906,0
2020-02-01,49799,49799,48758,48811,240765,0
2020-01-28,49500,49500,48152,48990,116503,0
2020-01-27,49500,49500,48500,48790,243356,0
2020-01-26,48998,48998,47900,48000,300858,0
2020-01-25,49499,49499,48019,48690,216049,0
2020-01-22,49799,49799,47706,49480,161919,0
2020-01-21,50000,50000,46984,48800,231712,0
2020-01-20,50948,50948,48800,49100,230579,0
2020-01-19,50900,50900,49000,49900,250029,0
2020-01-18,51999,51999,49900,50400,321077,0
2020-01-15,51000,51000,48001,49419,208785,0
2020-01-14,51698,51698,48750,49300,555543,0
2020-01-13,50500,52989,49000,49908,253723,0
2020-01-12,51498,51498,50000,50200,228356,0
2020-01-11,49078,49078,48201,49078,622235,0
2020-01-08,48116,48116,48116,48116,12428,0
2020-01-07,50001,50500,48604,48604,69828,0
2020-01-05,52000,52000,50000,50100,157459,0
2020-01-04,50863,51000,50863,50863,390634,0
2020-01-01,55532,55535,52000,52000,245364,0
2019-12-31,55567,55567,51900,55500,363995,0
2019-12-30,51199,53272,50738,53272,703145,0
2019-12-29,50999,51180,50302,50700,140603,0
2019-12-28,50299,50300,49900,50279,236297,0
2019-12-25,50139,50139,49000,49265,99736,0
2019-12-24,50500,50500,47400,49500,178310,0
2019-12-23,50500,50700,47504,48500,123843,0
2019-12-22,51400,51400,49003,49599,101703,0
2019-12-21,51495,51495,49001,49439,136808,0
2019-12-18,49700,50000,48523,48999,101312,0
2019-12-17,49993,49993,48003,49500,123087,0
2019-12-16,49159,50000,47355,48596,435282,0
2019-12-15,50500,50550,48222,48840,145710,0
2019-12-14,50199,50300,48500,49250,102414,0
2019-12-11,50500,50500,48161,49489,68770,0
2019-12-10,51400,51400,48000,49100,121929,0
2019-12-09,51900,51900,49500,50390,151049,0
2019-12-08,50998,53547,49101,50457,172217,0
2019-11-27,50000,50998,49560,50290,156379,0
2019-11-26,49845,50700,48200,50300,208757,0
2019-11-25,49779,49800,47062,49500,181906,0
2019-11-24,49700,49700,48151,48600,55396,0
2019-11-23,49600,49890,47533,48001,116276,0
2019-11-20,48500,48698,46603,48620,319784,0
2019-11-19,47999,47999,45000,47989,109304,0
2019-11-18,47200,47600,46010,47200,121838,0
2019-11-17,46880,46900,45037,46800,72418,0
2019-11-16,47997,47997,45026,46725,52372,0
