TICKER,PER,Date,TIME,Open,High,Low,Close,Total Trade Quantity,Turnover (Lacs)
ddam-D1,D1,20110508,000000,216,216,216,216,1000,0
ddam-D1,D1,20110509,000000,214,214,210,212,7752,0
ddam-D1,D1,20110510,000000,213,214,213,213,11010,0
ddam-D1,D1,20110511,000000,208,214,208,208,18688,0
ddam-D1,D1,20110514,000000,214,214,214,214,309,0
ddam-D1,D1,20110515,000000,214,214,207,210,12699,0
ddam-D1,D1,20110516,000000,209,211,209,209,2762,0
ddam-D1,D1,20110524,000000,202,202,202,202,4450,0
ddam-D1,D1,20110528,000000,204,204,201,201,35392,0
ddam-D1,D1,20110529,000000,194,195,194,195,13500,0
ddam-D1,D1,20110530,000000,190,192,190,190,12540,0
ddam-D1,D1,20110601,000000,194,194,194,194,4000,0
ddam-D1,D1,20110606,000000,197,197,197,197,10000,0
ddam-D1,D1,20110607,000000,204,204,203,203,3560,0
ddam-D1,D1,20110608,000000,204,205,202,202,47631,0
ddam-D1,D1,20110611,000000,196,196,196,196,25535,0
ddam-D1,D1,20110612,000000,190,192,190,191,5620,0
ddam-D1,D1,20110613,000000,192,192,187,192,95917,0
ddam-D1,D1,20110614,000000,192,194,190,190,5650,0
ddam-D1,D1,20110615,000000,194,194,194,194,32602,0
ddam-D1,D1,20110618,000000,200,200,200,200,1108,0
ddam-D1,D1,20110619,000000,199,200,198,200,7895,0
ddam-D1,D1,20110621,000000,194,194,194,194,35000,0
ddam-D1,D1,20110622,000000,196,196,196,196,4000,0
ddam-D1,D1,20110625,000000,200,200,199,200,25095,0
ddam-D1,D1,20110626,000000,202,202,199,199,2708,0
ddam-D1,D1,20110627,000000,197,197,192,192,26638,0
ddam-D1,D1,20110629,000000,192,192,192,192,471,0
ddam-D1,D1,20110703,000000,197,197,197,197,1521,0
ddam-D1,D1,20110704,000000,197,198,197,198,4964,0
ddam-D1,D1,20110705,000000,202,202,202,202,50,0
ddam-D1,D1,20110706,000000,197,197,197,197,4985,0
ddam-D1,D1,20110709,000000,198,199,198,199,552,0
ddam-D1,D1,20110711,000000,197,199,197,199,5311,0
ddam-D1,D1,20110712,000000,192,198,192,197,3617,0
ddam-D1,D1,20110713,000000,190,193,190,193,1419,0
ddam-D1,D1,20110716,000000,188,188,188,188,21609,0
ddam-D1,D1,20110718,000000,182,183,182,182,32180,0
ddam-D1,D1,20110719,000000,182,182,182,182,6200,0
ddam-D1,D1,20110720,000000,183,183,183,183,7292,0
ddam-D1,D1,20110723,000000,181,181,179,181,9296,0
ddam-D1,D1,20110724,000000,187,187,186,187,20438,0
ddam-D1,D1,20110725,000000,186,186,179,179,1604,0
ddam-D1,D1,20110726,000000,186,186,186,186,200,0
ddam-D1,D1,20110727,000000,184,184,179,179,10456,0
ddam-D1,D1,20110730,000000,186,186,183,183,2200,0
ddam-D1,D1,20110801,000000,181,181,179,179,6700,0
ddam-D1,D1,20110802,000000,187,187,179,179,6900,0
ddam-D1,D1,20110803,000000,179,181,179,179,3777,0
ddam-D1,D1,20110806,000000,180,180,179,180,7570,0
ddam-D1,D1,20110807,000000,179,179,179,179,555,0
ddam-D1,D1,20110808,000000,176,176,176,176,9000,0
ddam-D1,D1,20110809,000000,176,176,176,176,10430,0
ddam-D1,D1,20110810,000000,176,176,176,176,9425,0
ddam-D1,D1,20110815,000000,173,173,171,171,4500,0
ddam-D1,D1,20110820,000000,173,175,173,175,9855,0
ddam-D1,D1,20110821,000000,177,177,176,176,3984,0
ddam-D1,D1,20110823,000000,176,179,176,179,28056,0
ddam-D1,D1,20110827,000000,176,177,176,176,8650,0
ddam-D1,D1,20110828,000000,175,177,175,177,17100,0
ddam-D1,D1,20110829,000000,175,176,175,175,4600,0
ddam-D1,D1,20110830,000000,175,176,175,176,3500,0
ddam-D1,D1,20110903,000000,176,176,176,176,211,0
ddam-D1,D1,20110904,000000,177,179,177,179,21510,0
ddam-D1,D1,20110905,000000,179,185,179,185,11000,0
ddam-D1,D1,20110906,000000,187,187,187,187,10683,0
ddam-D1,D1,20110907,000000,190,190,190,190,75221,0
ddam-D1,D1,20110910,000000,198,198,198,198,40438,0
